path,module,name,line,length
sentinel-control/services/sentinel-core/tests/perf/sched/test_scheduler_non_blocking_property.py,tests.perf.sched.test_scheduler_non_blocking_property,test_higher_priority_runs_first,841,159
sentinel-control/services/sentinel-core/sentinel/organs/browser/playwright_renderer.py,sentinel.organs.browser.playwright_renderer,__call__,53,157
sentinel-control/services/sentinel-core/sentinel/operator/runtime_connections.py,sentinel.operator.runtime_connections,build_default_runtime_connection_registry,142,154
sentinel-control/services/sentinel-core/sentinel/memory/service.py,sentinel.memory.service,ingest_entry,97,149
sentinel-control/services/sentinel-core/sentinel/operator/real_model_certification.py,sentinel.operator.real_model_certification,_execute_coding_action,3847,149
sentinel-control/services/sentinel-core/sentinel/perf/workspace/workspace_snapshot_cache.py,sentinel.perf.workspace.workspace_snapshot_cache,apply_delta,259,146
sentinel-control/services/sentinel-core/sentinel/operator/workflow_runtime.py,sentinel.operator.workflow_runtime,_execute_replan,318,145
sentinel-control/services/sentinel-core/sentinel/agent/final_gate.py,sentinel.agent.final_gate,_browser_reliability_supervisor_contract,1854,144
sentinel-control/services/sentinel-core/sentinel/organs/browser/final_gate.py,sentinel.organs.browser.final_gate,_check_browser_reliability_supervisor_contract,1013,144
sentinel-control/services/sentinel-core/sentinel/operator/daemon_runtime.py,sentinel.operator.daemon_runtime,tick,189,141
sentinel-control/services/sentinel-core/sentinel/operator/interactive_exploration_read_only.py,sentinel.operator.interactive_exploration_read_only,run,1167,140
sentinel-control/services/sentinel-core/tests/perf/caches/test_cache_canonical_equivalence_property.py,tests.perf.caches.test_cache_canonical_equivalence_property,test_event_payloads_never_contain_bodies,608,140
sentinel-control/services/sentinel-core/sentinel/missions/gtm/planner.py,sentinel.missions.gtm.planner,create_plan,11,139
sentinel-control/services/sentinel-core/sentinel/power/runtime.py,sentinel.power.runtime,run,289,138
sentinel-control/services/sentinel-core/tests/perf/caches/test_cache_invalidation_dependency_property.py,tests.perf.caches.test_cache_invalidation_dependency_property,test_fsm_dependency_closure_holds_under_random_ops,472,136
sentinel-control/services/sentinel-core/sentinel/agent/runtime.py,sentinel.agent.runtime,__init__,221,135
sentinel-control/services/sentinel-core/sentinel/perf/hot_cold/receipt_index.py,sentinel.perf.hot_cold.receipt_index,query,288,135
sentinel-control/services/sentinel-core/tests/perf/sched/test_scheduler_benchmark.py,tests.perf.sched.test_scheduler_benchmark,test_decision_core_event_responsiveness_p95_under_5ms,411,135
sentinel-control/services/sentinel-core/sentinel/operator/real_model_certification.py,sentinel.operator.real_model_certification,_run_record,4483,134
sentinel-control/services/sentinel-core/sentinel/telemetry/kernel.py,sentinel.telemetry.kernel,_record_power_timeline,1206,132
sentinel-control/services/sentinel-core/sentinel/agent/browser/perception_adapter.py,sentinel.agent.browser.perception_adapter,build_frame,44,131
sentinel-control/services/sentinel-core/sentinel/cli.py,sentinel.cli,main,260,129
sentinel-control/services/sentinel-core/tests/test_cueidea_contract.py,tests.test_cueidea_contract,test_end_to_end_cueidea_to_gtm_pack_trace_and_safe_execution,101,129
sentinel-control/services/sentinel-core/tests/perf/hot_cold/test_cold_receipt_store_property.py,tests.perf.hot_cold.test_cold_receipt_store_property,test_persist_failure_returns_none,240,129
sentinel-control/services/sentinel-core/sentinel/agent/replay.py,sentinel.agent.replay,_snapshot,34,128
sentinel-control/services/sentinel-core/tests/test_real_world_power_convergence_wave1.py,tests.test_real_world_power_convergence_wave1,test_wave1_coding_workspace_vertical_gauntlet_repeats_five_times,189,127
sentinel-control/services/sentinel-core/tests/test_browser_runtime_unification_l6_login_file_js_dispatch_lock.py,tests.test_browser_runtime_unification_l6_login_file_js_dispatch_lock,test_dispatcher_routes_open_file_js_close_through_runtime,454,126
sentinel-control/services/sentinel-core/sentinel/operator/mutation_artifact_channel.py,sentinel.operator.mutation_artifact_channel,apply,394,124
sentinel-control/services/sentinel-core/sentinel/operator/connection_inbound_registry.py,sentinel.operator.connection_inbound_registry,accept_observation,78,123
sentinel-control/services/sentinel-core/tests/perf/sched/test_scheduler_non_blocking_property.py,tests.perf.sched.test_scheduler_non_blocking_property,_drive,1108,122
sentinel-control/services/sentinel-core/sentinel/agent/brain/cognition_loop.py,sentinel.agent.brain.cognition_loop,run,238,121
sentinel-control/services/sentinel-core/sentinel/agent/final_gate.py,sentinel.agent.final_gate,_controlled_capability_receipts,966,119
sentinel-control/services/sentinel-core/sentinel/agent/controlled_capability.py,sentinel.agent.controlled_capability,run,73,118
sentinel-control/services/sentinel-core/tests/test_governed_mutation_artifact_channel_v3.py,tests.test_governed_mutation_artifact_channel_v3,test_v3_runner_preserves_accepted_chunk_across_bounded_provider_retry,610,117
sentinel-control/services/sentinel-core/sentinel/agent/organs/organ_dispatch.py,sentinel.agent.organs.organ_dispatch,_build_typed_sub_request,553,116
sentinel-control/services/sentinel-core/sentinel/telemetry/kernel.py,sentinel.telemetry.kernel,record_power_runtime_result,209,115
sentinel-control/services/sentinel-core/sentinel/organs/browser/public_lifecycle.py,sentinel.organs.browser.public_lifecycle,open_tab,76,114
sentinel-control/services/sentinel-core/tests/perf/caches/test_token_budget_enforcement_property.py,tests.perf.caches.test_token_budget_enforcement_property,test_event_payload_whitelist,598,114
sentinel-control/services/sentinel-core/sentinel/operator/structured_output.py,sentinel.operator.structured_output,_validate_mission_understanding_v2,311,113
sentinel-control/services/sentinel-core/tests/test_final_gate_terminality.py,tests.test_final_gate_terminality,test_final_gate_rejected_intended_result_returns_certified_blocked_result,205,113
sentinel-control/services/sentinel-core/sentinel/agent/final_gate.py,sentinel.agent.final_gate,_browser_v3_download_quarantine_contract,2296,112
sentinel-control/services/sentinel-core/sentinel/operator/skill_fabric.py,sentinel.operator.skill_fabric,execute_skill,295,112
sentinel-control/services/sentinel-core/sentinel/operator/workflow_store.py,sentinel.operator.workflow_store,_create_checkpoint_locked,345,112
sentinel-control/services/sentinel-core/sentinel/organs/browser/final_gate.py,sentinel.organs.browser.final_gate,_check_browser_v3_download_quarantine_contract,1459,112
sentinel-control/services/sentinel-core/sentinel/organs/browser/supervisor.py,sentinel.organs.browser.supervisor,run_with_retries,265,112
sentinel-control/services/sentinel-core/tests/test_agent_browser_v3_live_adapter_harness.py,tests.test_agent_browser_v3_live_adapter_harness,test_p4c_h3_live_private_login_cookie_har_flow,168,112
sentinel-control/services/sentinel-core/tests/test_agent_browser_v3_remaining_authorities.py,tests.test_agent_browser_v3_remaining_authorities,test_remaining_v3_negative_boundaries,428,112
sentinel-control/services/sentinel-core/tests/perf/sched/test_scheduler_non_blocking_property.py,tests.perf.sched.test_scheduler_non_blocking_property,test_kill_switch_rejection_blocks_submission,395,112
sentinel-control/services/sentinel-core/sentinel/agent/final_gate.py,sentinel.agent.final_gate,_browser_v3_upload_authorized_contract,2410,111
sentinel-control/services/sentinel-core/sentinel/capabilities/policy.py,sentinel.capabilities.policy,decide,11,111
sentinel-control/services/sentinel-core/sentinel/organs/browser/final_gate.py,sentinel.organs.browser.final_gate,_check_browser_v3_upload_authorized_contract,1578,111
