from_path,from_module,to_module,kind,line
sentinel-control/services/sentinel-core/sentinel/organs/browser/receipt_wrapper.py,sentinel.organs.browser.receipt_wrapper,sentinel.organs.receipts,from,65
sentinel-control/services/sentinel-core/sentinel/organs/browser/receipt_wrapper.py,sentinel.organs.browser.receipt_wrapper,sentinel.shared.events,from,66
sentinel-control/services/sentinel-core/sentinel/organs/browser/reliability_profile.py,sentinel.organs.browser.reliability_profile,sentinel.shared.models,from,5
sentinel-control/services/sentinel-core/sentinel/organs/browser/rendered_snapshot.py,sentinel.organs.browser.rendered_snapshot,sentinel.agent.artifact_capture,from,6
sentinel-control/services/sentinel-core/sentinel/organs/browser/rendered_snapshot.py,sentinel.organs.browser.rendered_snapshot,sentinel.organs.browser.accessibility_snapshot,from,7
sentinel-control/services/sentinel-core/sentinel/organs/browser/rendered_snapshot.py,sentinel.organs.browser.rendered_snapshot,sentinel.organs.browser.models,from,8
sentinel-control/services/sentinel-core/sentinel/organs/browser/rendered_snapshot.py,sentinel.organs.browser.rendered_snapshot,sentinel.organs.browser.observability,from,20
sentinel-control/services/sentinel-core/sentinel/organs/browser/rendered_snapshot.py,sentinel.organs.browser.rendered_snapshot,sentinel.organs.browser.pdf,from,21
sentinel-control/services/sentinel-core/sentinel/organs/browser/rendered_snapshot.py,sentinel.organs.browser.rendered_snapshot,sentinel.organs.browser.screenshot,from,22
sentinel-control/services/sentinel-core/sentinel/organs/browser/rendered_snapshot.py,sentinel.organs.browser.rendered_snapshot,sentinel.organs.browser.url_guard,from,27
sentinel-control/services/sentinel-core/sentinel/organs/browser/rendered_snapshot.py,sentinel.organs.browser.rendered_snapshot,sentinel.shared.events,from,28
sentinel-control/services/sentinel-core/sentinel/organs/browser/screenshot.py,sentinel.organs.browser.screenshot,sentinel.organs.browser.models,from,6
sentinel-control/services/sentinel-core/sentinel/organs/browser/session_policy.py,sentinel.organs.browser.session_policy,sentinel.shared.models,from,5
sentinel-control/services/sentinel-core/sentinel/organs/browser/supervisor.py,sentinel.organs.browser.supervisor,sentinel.organs.browser.models,from,7
sentinel-control/services/sentinel-core/sentinel/organs/browser/supervisor.py,sentinel.organs.browser.supervisor,sentinel.shared.events,from,19
sentinel-control/services/sentinel-core/sentinel/organs/browser/ui_observation.py,sentinel.organs.browser.ui_observation,sentinel.organs.browser.models,from,10
sentinel-control/services/sentinel-core/sentinel/organs/browser/ui_observation.py,sentinel.organs.browser.ui_observation,sentinel.shared.events,from,11
sentinel-control/services/sentinel-core/sentinel/organs/browser/ui_observation.py,sentinel.organs.browser.ui_observation,sentinel.shared.models,from,12
sentinel-control/services/sentinel-core/sentinel/organs/browser/upload_authorized.py,sentinel.organs.browser.upload_authorized,sentinel.agent.artifact_capture,from,10
sentinel-control/services/sentinel-core/sentinel/organs/browser/upload_authorized.py,sentinel.organs.browser.upload_authorized,sentinel.organs.browser.accessibility_snapshot,from,11
sentinel-control/services/sentinel-core/sentinel/organs/browser/upload_authorized.py,sentinel.organs.browser.upload_authorized,sentinel.organs.browser.interaction_dry_run,from,12
sentinel-control/services/sentinel-core/sentinel/organs/browser/upload_authorized.py,sentinel.organs.browser.upload_authorized,sentinel.organs.browser.models,from,13
sentinel-control/services/sentinel-core/sentinel/organs/browser/upload_authorized.py,sentinel.organs.browser.upload_authorized,sentinel.organs.browser.observability,from,18
sentinel-control/services/sentinel-core/sentinel/organs/browser/upload_authorized.py,sentinel.organs.browser.upload_authorized,sentinel.organs.browser.screenshot,from,19
sentinel-control/services/sentinel-core/sentinel/organs/browser/upload_authorized.py,sentinel.organs.browser.upload_authorized,sentinel.organs.browser.v3_authority,from,20
