path,module,kind,name,line,end_line,length
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,SceneActionCandidate,123,140,18
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,PerceptionActionLink,143,155,13
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,VisualActuationPlan,158,166,9
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,ActionEnvelope,169,187,19
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,ActionPreparationResult,190,197,8
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,ActionExecutionResult,200,207,8
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,BrowserRunnerProtocol,210,218,9
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,class,ActionEngine,221,421,201
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,function,_hash_payload,424,426,3
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,function,compile,66,91,26
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,function,_required_receipts,94,101,8
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,function,_required_verifiers,104,107,4
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,function,_credentialed_rules,110,113,4
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,function,_externality_rules,116,120,5
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,function,run,211,218,8
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,function,prepare_browser_action,224,330,107
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,function,execute_browser_action,332,364,33
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,function,verify_browser_post_action,366,383,18
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,function,_target_errors,386,400,15
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,function,_target_domain_allowed,403,407,5
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,function,_decision,410,421,12
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,function,_stable_id,16,18,3
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,class,DebateRolePlan,21,35,15
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,class,SparseMoAPlan,38,64,27
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,class,DebateAggregationPlan,67,89,23
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,class,DebateRoute,92,126,35
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,class,AdaptiveDebateRouter,129,319,191
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,function,_validate,32,35,4
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,function,_validate,51,64,14
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,function,_validate,78,89,12
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,function,_validate,111,126,16
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,function,route,136,192,57
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,function,_reason,195,216,22
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,function,_roles,219,242,24
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,function,_sparse_plan,245,265,21
sentinel-control/services/sentinel-core/sentinel/agent/adaptive_debate.py,sentinel.agent.adaptive_debate,function,_record,267,319,53
sentinel-control/services/sentinel-core/sentinel/agent/agent_count.py,sentinel.agent.agent_count,class,BrainMode,14,19,6
sentinel-control/services/sentinel-core/sentinel/agent/agent_count.py,sentinel.agent.agent_count,class,AgentCountRoute,22,37,16
sentinel-control/services/sentinel-core/sentinel/agent/agent_count.py,sentinel.agent.agent_count,class,AgentCountController,40,156,117
sentinel-control/services/sentinel-core/sentinel/agent/agent_count.py,sentinel.agent.agent_count,function,route,43,82,40
sentinel-control/services/sentinel-core/sentinel/agent/agent_count.py,sentinel.agent.agent_count,function,_band_policy,85,93,9
sentinel-control/services/sentinel-core/sentinel/agent/agent_count.py,sentinel.agent.agent_count,function,_desired_count,96,101,6
sentinel-control/services/sentinel-core/sentinel/agent/agent_count.py,sentinel.agent.agent_count,function,_apply_budget_pressure,104,115,12
sentinel-control/services/sentinel-core/sentinel/agent/agent_count.py,sentinel.agent.agent_count,function,_reason,118,126,9
sentinel-control/services/sentinel-core/sentinel/agent/agent_count.py,sentinel.agent.agent_count,function,_record,129,156,28
sentinel-control/services/sentinel-core/sentinel/agent/agent_society.py,sentinel.agent.agent_society,class,AgentRolePurpose,15,22,8
sentinel-control/services/sentinel-core/sentinel/agent/agent_society.py,sentinel.agent.agent_society,class,AgentSocietyPlanStatus,25,27,3
sentinel-control/services/sentinel-core/sentinel/agent/agent_society.py,sentinel.agent.agent_society,class,AgentOutputContract,30,34,5
sentinel-control/services/sentinel-core/sentinel/agent/agent_society.py,sentinel.agent.agent_society,class,AgentRoleAssignment,37,50,14
sentinel-control/services/sentinel-core/sentinel/agent/agent_society.py,sentinel.agent.agent_society,class,AgentSocietyPlan,53,65,13
sentinel-control/services/sentinel-core/sentinel/agent/agent_society.py,sentinel.agent.agent_society,class,AgentSocietyManager,68,281,214
sentinel-control/services/sentinel-core/sentinel/agent/agent_society.py,sentinel.agent.agent_society,function,plan,82,119,38
